City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Keuruu,FI,2021-07-20 01:51:48,62.2667,24.7,53.8,80,93,8.12,overcast clouds
194,Rancagua,CL,2021-07-20 01:51:31,-34.1708,-70.7444,50.05,34,3,0.81,clear sky
195,Deshnok,IN,2021-07-20 01:51:48,27.7986,73.3447,84.4,70,99,21.25,overcast clouds
196,Zhytomyr,UA,2021-07-20 01:51:48,50.2649,28.6767,63.68,94,100,6.49,overcast clouds
197,Hukuntsi,BW,2021-07-20 01:51:49,-24.0,21.75,45.25,36,0,10.74,clear sky
198,Cerignola,IT,2021-07-20 01:51:49,41.264,15.9005,70.56,77,6,8.01,clear sky
199,Lulea,SE,2021-07-20 01:51:49,65.5842,22.1547,50.07,66,7,8.05,clear sky
200,Don Matias,CO,2021-07-20 01:51:50,6.4857,-75.395,58.32,97,6,1.45,clear sky
201,Marawi,PH,2021-07-20 01:47:52,7.9986,124.2928,81.84,52,95,5.17,overcast clouds
202,Mogadishu,SO,2021-07-20 01:47:42,2.0371,45.3438,76.53,82,100,20.27,overcast clouds
203,Ogaminana,NG,2021-07-20 01:51:50,7.5946,6.2248,71.24,97,91,5.68,overcast clouds
204,Natal,BR,2021-07-20 01:48:07,-5.795,-35.2094,74.05,100,90,11.5,overcast clouds
205,Shakiso,ET,2021-07-20 01:51:51,5.75,38.9167,57.79,86,100,1.05,overcast clouds
206,Bubaque,GW,2021-07-20 01:51:51,11.2833,-15.8333,81.05,83,77,16.2,light rain
207,Mangrol,IN,2021-07-20 01:51:51,21.1167,70.1167,82.98,81,100,22.19,overcast clouds
208,Muros,ES,2021-07-20 01:51:52,42.7762,-9.0603,66.99,85,100,2.75,overcast clouds
209,Kudahuvadhoo,MV,2021-07-20 01:51:52,2.6708,72.8944,82.71,71,73,5.59,broken clouds
210,Porto Torres,IT,2021-07-20 01:51:52,40.835,8.3972,68.18,75,0,0.63,clear sky
211,Oranjestad,AW,2021-07-20 01:51:52,12.524,-70.027,82.35,74,20,20.71,few clouds
