City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Lima,PE,61.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
496,Horasan,TR,64.98,clear sky,40.0458,42.1728,Horasan Öğretmenevi
498,Palora,EC,62.55,overcast clouds,-1.7,-77.9333,Rancho grande
500,Gualaquiza,EC,60.55,light rain,-3.4,-78.55,Hotel Merceditas
502,Rosehearty,GB,61.61,overcast clouds,57.697,-2.1132,The Davron Hotel
503,Manzil Salim,TN,69.8,clear sky,35.8567,8.4765,mohamed ben khlil omri
504,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
506,Cascais,PT,66.47,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
508,Leh,IN,62.19,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
510,Santiago De Cao,PE,64.53,scattered clouds,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
511,Aktau,KZ,72.18,clear sky,43.65,51.2,Silk Way Hotel
512,Sao Jose Do Belmonte,BR,70.25,clear sky,-7.8614,-38.7597,Pousada Pedra do Reino
523,Gbadolite,CD,68.27,overcast clouds,4.2833,21.0167,Zenic
524,Pokhara,NP,72.28,overcast clouds,28.2333,83.9833,Butterfly Lodge
525,Nkayi,CG,68.99,few clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
527,Cervo,ES,64.96,few clouds,43.6702,-7.4101,Hotel Spa Galatea
529,Ahtopol,BG,73.87,clear sky,42.1,27.95,Agata Beach Hotel
531,Sebinkarahisar,TR,67.23,clear sky,40.2883,38.4236,Sebinkarahisar Ogretmenevi
532,Aksu,CN,72.54,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
533,Muravlenko,RU,63.39,clear sky,63.7898,74.523,Hostel Rus Muravlenko
534,Puerto Leguizamo,CO,70.57,overcast clouds,-0.1934,-74.7819,la casona de juancho
535,Tocopilla,CL,64.42,overcast clouds,-22.092,-70.1979,Hotel Galvarino
536,Omboue,GA,71.62,overcast clouds,-1.5746,9.2618,Hotel Olako
538,Miandrivazo,MG,72.19,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
547,Trujillo,PE,64.36,scattered clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
548,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
549,Shelburne,CA,72.66,clear sky,44.0787,-80.2041,The Retreat at the Farm
551,Placido De Castro,BR,67.1,clear sky,-10.3353,-67.1856,Hotel Carioca
552,Humboldt,US,72.39,few clouds,40.6665,-123.9178,
562,Morges,CH,66.54,clear sky,46.5113,6.4985,Fleur du Lac
563,Manturovo,RU,61.83,overcast clouds,58.3353,44.7619,ProstoХостел
565,Pappadatai,GR,67.42,clear sky,39.3133,20.7925,
566,Glamoc,BA,60.6,broken clouds,44.0458,16.8486,Hotel Split
567,Varzea Da Palma,BR,66.34,clear sky,-17.5981,-44.7308,Casa Fernandes
572,Gramoteino,RU,60.75,clear sky,54.5368,86.3839,
574,Aksehir,TR,67.55,clear sky,38.3575,31.4164,GRAND HOTEL AKŞEHİR
579,Port-Gentil,GA,74.26,overcast clouds,-0.7193,8.7815,Fengshui Residence
580,Sarrebourg,FR,60.37,clear sky,48.7333,7.05,ibis budget Sarrebourg Buhl
584,Yar-Sale,RU,62.1,scattered clouds,66.8333,70.8333,Yalemd
587,Concarneau,FR,70.09,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
589,Odweyne,SO,70.05,scattered clouds,9.4092,45.064,Eng Hiirey House
590,Olbia,IT,68.05,clear sky,40.9214,9.4856,Hotel Centrale Olbia
592,Cap-Aux-Meules,CA,68.05,broken clouds,47.3821,-61.8597,Auberge Madeli
595,Aleksandro-Nevskiy,RU,68.27,overcast clouds,53.4751,40.2095,
598,Nyrob,RU,64.0,broken clouds,60.733,56.7202,Gostinitsa
599,Kitgum,UG,63.43,light rain,3.2783,32.8867,Jaflo Gardens Hotel
600,Alikalia,SL,69.67,light rain,9.1667,-11.4,
601,Chicama,PE,63.14,clear sky,-7.8447,-79.1469,Balihai Bungalows
602,Nefteyugansk,RU,64.65,scattered clouds,61.0998,72.6035,Royal Plaza
603,Colares,PT,66.29,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
610,Xuddur,SO,68.79,overcast clouds,4.1213,43.8894,Banjanay Hotel
611,Bongor,TD,73.08,light rain,10.2806,15.3722,Oryx Palace
620,Bambari,CF,68.04,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
623,Boda,CF,67.89,overcast clouds,4.3189,17.4695,
625,Inverness,GB,60.98,broken clouds,57.4791,-4.224,Glen Mhor Hotel & Apartments
632,Yugorsk,RU,66.07,broken clouds,61.3133,63.3319,Arkobaleno Mini-hotel
635,Igrim,RU,67.35,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
636,Vardenik,AM,65.61,scattered clouds,40.1393,45.4334,
637,Malakal,SS,71.37,overcast clouds,9.5334,31.6605,Nile Palace Hotel
641,Montivilliers,FR,67.6,clear sky,49.5452,0.1877,Hotel Inn Design Le Havre Nord Montivilliers
644,Rabat,MA,68.16,broken clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
645,Morrope,PE,66.79,clear sky,-6.5417,-80.0111,Hipolito santamaria
646,Chebarkul,RU,64.51,clear sky,54.9749,60.3633,"Ural'skiye Zori, Gostinichnyy Kompleks"
649,Mapiripan,CO,70.02,scattered clouds,2.8892,-72.1256,Monserrate
650,Sept-Iles,CA,65.05,overcast clouds,50.2001,-66.3821,Comfort Inn
653,Cabinda,AO,70.75,few clouds,-5.55,12.2,Hotel Maiombe
655,Arinos,BR,68.4,clear sky,-15.9169,-46.1056,casa do bruno
659,Rumford,US,66.29,scattered clouds,44.5537,-70.5509,coastal rentals llc
660,Nanyamba,TZ,63.14,scattered clouds,-10.6833,39.8333,Busati Lodge Nanyamba
661,El Tigre,VE,73.92,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
664,Vilhena,BR,61.41,clear sky,-12.7406,-60.1458,Hotel Mirage
667,Saquena,PE,70.81,few clouds,-4.6667,-73.5167,
668,Buarcos,PT,64.74,overcast clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
671,Meiganga,CM,62.91,broken clouds,6.5167,14.3,DFR HOUSE
673,Luanda,AO,66.97,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
675,Teruel,ES,65.43,clear sky,40.6667,-0.6667,La Parra
676,Riberalta,BO,66.9,clear sky,-10.9833,-66.1,Hotel Colonial
681,Dutse,NG,74.21,broken clouds,11.7594,9.3392,Central Mosque Galamawa
685,Vitina,BA,67.57,scattered clouds,43.2375,17.4839,Adria centar Koćuša
686,Grand-Santi,GF,72.3,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
691,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
692,Kafanchan,NG,74.37,broken clouds,9.5833,8.3,Sir Joe guest Inn
693,Caceres,ES,60.8,few clouds,39.522,-6.3748,Ahc Hoteles
697,Kayes,ML,74.05,overcast clouds,14.0,-11.0,
701,Kenscoff,HT,69.94,light rain,18.4506,-72.2869,Auberzazage Sur La Montagne
702,Paita,PE,65.68,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
